08-10-2026 22:13:21 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.093C/66.093C cpu@70.687C/70.687C soc2@62.875C/62.875C soc0@64.062C/64.062C cv1@64.968C/64.968C gpu@70.25C/70.343C tj@70.687C/70.687C soc1@62.25C/62.25C cv2@60.406C/60.406C VDD_IN 31349mW/24497mW/31761mW VDD_CPU_GPU_CV 19116mW/14431mW/20038mW VDD_SOC 5136mW/4208mW/5136mW
08-10-2026 22:13:21 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.187C/66.187C cpu@70.843C/70.843C soc2@62.968C/62.968C soc0@64.406C/64.406C cv1@65.25C/65.25C gpu@70.406C/70.406C tj@70.843C/70.843C soc1@62.562C/62.562C cv2@60.593C/60.593C VDD_IN 31309mW/24806mW/31761mW VDD_CPU_GPU_CV 18957mW/14637mW/20038mW VDD_SOC 5136mW/4250mW/5136mW
08-10-2026 22:13:22 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.468C/66.468C cpu@71.218C/71.218C soc2@63.187C/63.187C soc0@64.5C/64.5C cv1@65.468C/65.468C gpu@70.593C/70.593C tj@71.218C/71.218C soc1@62.625C/62.625C cv2@60.656C/60.656C VDD_IN 31389mW/25093mW/31761mW VDD_CPU_GPU_CV 19077mW/14830mW/20038mW VDD_SOC 5176mW/4290mW/5176mW
08-10-2026 22:13:22 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.531C/66.531C cpu@71.343C/71.343C soc2@63.312C/63.312C soc0@64.625C/64.625C cv1@65.593C/65.593C gpu@70.781C/70.781C tj@71.343C/71.343C soc1@62.718C/62.718C cv2@60.843C/60.843C VDD_IN 31349mW/25353mW/31761mW VDD_CPU_GPU_CV 19037mW/15005mW/20038mW VDD_SOC 5136mW/4325mW/5176mW
08-10-2026 22:13:23 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.718C/66.718C cpu@71.437C/71.437C soc2@63.562C/63.562C soc0@64.875C/64.875C cv1@65.625C/65.625C gpu@70.843C/70.843C tj@71.312C/71.343C soc1@62.843C/62.843C cv2@60.968C/60.968C VDD_IN 31269mW/25590mW/31761mW VDD_CPU_GPU_CV 18957mW/15163mW/20038mW VDD_SOC 5176mW/4359mW/5176mW
08-10-2026 22:13:23 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.937C/66.937C cpu@71.468C/71.468C soc2@63.625C/63.625C soc0@64.937C/64.937C cv1@65.843C/65.843C gpu@71C/71C tj@71.468C/71.468C soc1@62.937C/62.937C cv2@61.156C/61.156C VDD_IN 31309mW/25810mW/31761mW VDD_CPU_GPU_CV 18957mW/15309mW/20038mW VDD_SOC 5136mW/4389mW/5176mW
08-10-2026 22:13:24 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.062C/67.062C cpu@71.625C/71.625C soc2@63.781C/63.781C soc0@64.968C/64.968C cv1@65.937C/65.937C gpu@71.343C/71.343C tj@71.625C/71.625C soc1@63.125C/63.125C cv2@61.468C/61.468C VDD_IN 31389mW/26017mW/31761mW VDD_CPU_GPU_CV 19037mW/15447mW/20038mW VDD_SOC 5136mW/4417mW/5176mW
08-10-2026 22:13:24 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.156C/67.156C cpu@71.625C/71.625C soc2@63.968C/63.968C soc0@65.187C/65.187C cv1@66.031C/66.031C gpu@71.468C/71.468C tj@71.625C/71.625C soc1@63.187C/63.187C cv2@61.468C/61.468C VDD_IN 31309mW/26206mW/31761mW VDD_CPU_GPU_CV 18997mW/15574mW/20038mW VDD_SOC 5136mW/4443mW/5176mW
08-10-2026 22:13:25 RAM 7630/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.343C/67.343C cpu@71.968C/71.968C soc2@64.093C/64.093C soc0@65.281C/65.281C cv1@66.25C/66.25C gpu@71.281C/71.468C tj@71.968C/71.968C soc1@63.343C/63.343C cv2@61.656C/61.656C VDD_IN 31269mW/26380mW/31761mW VDD_CPU_GPU_CV 18918mW/15689mW/20038mW VDD_SOC 5176mW/4468mW/5176mW
08-10-2026 22:13:25 RAM 7630/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.406C/67.406C cpu@71.906C/71.968C soc2@64.218C/64.218C soc0@65.406C/65.406C cv1@66.25C/66.25C gpu@71.687C/71.687C tj@71.906C/71.968C soc1@63.437C/63.437C cv2@61.781C/61.781C VDD_IN 31389mW/26547mW/31761mW VDD_CPU_GPU_CV 19037mW/15801mW/20038mW VDD_SOC 5176mW/4492mW/5176mW
