08-11-2026 00:06:09 RAM 12247/15599MB (lfb 3x1MB) CPU [0%@1984,0%@1984,100%@1984,1%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@53.687C/53.687C cpu@58.218C/58.218C soc2@51.781C/51.781C soc0@53.812C/53.812C cv1@53.625C/53.625C gpu@61.875C/61.937C tj@61.875C/61.937C soc1@51.875C/51.875C cv2@50.218C/50.218C VDD_IN 28380mW/21015mW/30030mW VDD_CPU_GPU_CV 15814mW/10864mW/18311mW VDD_SOC 5385mW/4370mW/5434mW
08-11-2026 00:06:10 RAM 12247/15599MB (lfb 3x1MB) CPU [0%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@53.781C/53.781C cpu@58.468C/58.468C soc2@51.937C/51.937C soc0@54.031C/54.031C cv1@53.843C/53.843C gpu@62.156C/62.156C tj@62.156C/62.156C soc1@52.125C/52.125C cv2@50.312C/50.312C VDD_IN 28340mW/21348mW/30030mW VDD_CPU_GPU_CV 15734mW/11085mW/18311mW VDD_SOC 5425mW/4418mW/5434mW
08-11-2026 00:06:10 RAM 12247/15599MB (lfb 3x1MB) CPU [0%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@53.906C/53.906C cpu@58.625C/58.625C soc2@52.093C/52.093C soc0@54.125C/54.125C cv1@54.156C/54.156C gpu@62.468C/62.468C tj@62.468C/62.468C soc1@52.343C/52.343C cv2@50.562C/50.562C VDD_IN 28340mW/21652mW/30030mW VDD_CPU_GPU_CV 15694mW/11285mW/18311mW VDD_SOC 5425mW/4461mW/5434mW
08-11-2026 00:06:11 RAM 12247/15599MB (lfb 3x1MB) CPU [0%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@54.062C/54.062C cpu@58.843C/58.843C soc2@52.25C/52.25C soc0@54.343C/54.343C cv1@54.125C/54.156C gpu@62.656C/62.656C tj@62.656C/62.656C soc1@52.437C/52.437C cv2@50.687C/50.687C VDD_IN 28420mW/21934mW/30030mW VDD_CPU_GPU_CV 15814mW/11474mW/18311mW VDD_SOC 5425mW/4502mW/5434mW
08-11-2026 00:06:11 RAM 12247/15599MB (lfb 3x1MB) CPU [0%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@54.218C/54.218C cpu@58.875C/58.875C soc2@52.312C/52.312C soc0@54.531C/54.531C cv1@54.312C/54.312C gpu@62.5C/62.656C tj@62.5C/62.656C soc1@52.531C/52.531C cv2@50.75C/50.75C VDD_IN 28380mW/22192mW/30030mW VDD_CPU_GPU_CV 15734mW/11644mW/18311mW VDD_SOC 5425mW/4539mW/5434mW
08-11-2026 00:06:12 RAM 12247/15599MB (lfb 3x1MB) CPU [0%@1984,0%@1984,100%@1984,1%@1984,29%@1984,0%@1984,1%@1984,100%@1984] GR3D_FREQ 99% cv0@55.093C/55.093C cpu@59.781C/59.781C soc2@52.625C/52.625C soc0@54.718C/54.718C cv1@54.625C/54.625C gpu@61.875C/62.656C tj@61.875C/62.656C soc1@52.687C/52.687C cv2@50.875C/50.875C VDD_IN 28622mW/22439mW/30030mW VDD_CPU_GPU_CV 15934mW/11809mW/18311mW VDD_SOC 5425mW/4573mW/5434mW
08-11-2026 00:06:12 RAM 11452/15599MB (lfb 15x4MB) CPU [27%@1984,0%@1984,100%@1984,0%@1984,74%@1984,0%@1984,76%@1984,100%@1984] GR3D_FREQ 99% cv0@55.031C/55.093C cpu@59.968C/59.968C soc2@53.125C/53.125C soc0@54.875C/54.875C cv1@54.937C/54.937C gpu@64.843C/64.843C tj@64.843C/64.843C soc1@52.906C/52.906C cv2@51.062C/51.062C VDD_IN 32113mW/22797mW/32113mW VDD_CPU_GPU_CV 19315mW/12087mW/19315mW VDD_SOC 5417mW/4604mW/5434mW
08-11-2026 00:06:13 RAM 9082/15599MB (lfb 15x4MB) CPU [100%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,17%@1984,100%@1984] GR3D_FREQ 99% cv0@55.187C/55.187C cpu@60.125C/60.125C soc2@53.5C/53.5C soc0@55.125C/55.125C cv1@55.093C/55.093C gpu@65.687C/65.687C tj@65.687C/65.687C soc1@53.031C/53.031C cv2@51.343C/51.343C VDD_IN 33707mW/23187mW/33707mW VDD_CPU_GPU_CV 20990mW/12405mW/20990mW VDD_SOC 5328mW/4630mW/5434mW
08-11-2026 00:06:13 RAM 8432/15599MB (lfb 33x4MB) CPU [100%@1984,88%@1984,13%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@56.156C/56.156C cpu@60.593C/60.593C soc2@54C/54C soc0@55.375C/55.375C cv1@55.281C/55.281C gpu@65.656C/65.687C tj@65.656C/65.687C soc1@53.25C/53.25C cv2@51.718C/51.718C VDD_IN 33627mW/23547mW/33707mW VDD_CPU_GPU_CV 20990mW/12701mW/20990mW VDD_SOC 5288mW/4652mW/5434mW
08-11-2026 00:06:14 RAM 9200/15599MB (lfb 32x4MB) CPU [100%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@56.312C/56.312C cpu@60.843C/60.843C soc2@54.156C/54.156C soc0@55.562C/55.562C cv1@55.468C/55.468C gpu@66C/66C tj@66C/66C soc1@53.656C/53.656C cv2@51.875C/51.875C VDD_IN 34068mW/23898mW/34068mW VDD_CPU_GPU_CV 20990mW/12978mW/20990mW VDD_SOC 5528mW/4682mW/5528mW
