08-10-2026 22:06:53 RAM 10682/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.031C/64.031C cpu@68.906C/68.906C soc2@60.968C/60.968C soc0@62.312C/62.312C cv1@63.187C/63.187C gpu@68.468C/68.468C tj@68.718C/68.718C soc1@60.593C/60.593C cv2@58.656C/58.656C VDD_IN 28748mW/22856mW/28828mW VDD_CPU_GPU_CV 18580mW/14265mW/18819mW VDD_SOC 4099mW/3553mW/4146mW
08-10-2026 22:06:54 RAM 10683/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.343C/64.343C cpu@68.875C/68.906C soc2@61.156C/61.156C soc0@62.531C/62.531C cv1@63.437C/63.437C gpu@68.687C/68.687C tj@68.906C/68.906C soc1@60.718C/60.718C cv2@58.75C/58.75C VDD_IN 28828mW/23127mW/28828mW VDD_CPU_GPU_CV 18699mW/14467mW/18819mW VDD_SOC 4099mW/3578mW/4146mW
08-10-2026 22:06:54 RAM 10683/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.5C/64.5C cpu@69.062C/69.062C soc2@61.375C/61.375C soc0@62.625C/62.625C cv1@63.562C/63.562C gpu@68.968C/68.968C tj@69.062C/69.062C soc1@61C/61C cv2@58.937C/58.937C VDD_IN 28909mW/23378mW/28909mW VDD_CPU_GPU_CV 18699mW/14651mW/18819mW VDD_SOC 4099mW/3601mW/4146mW
08-10-2026 22:06:55 RAM 10683/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.625C/64.625C cpu@69.5C/69.5C soc2@61.437C/61.437C soc0@62.906C/62.906C cv1@63.75C/63.75C gpu@68.875C/68.968C tj@69.5C/69.5C soc1@61.156C/61.156C cv2@58.937C/58.937C VDD_IN 28667mW/23599mW/28909mW VDD_CPU_GPU_CV 18540mW/14813mW/18819mW VDD_SOC 4146mW/3624mW/4146mW
08-10-2026 22:06:55 RAM 10683/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.781C/64.781C cpu@69.375C/69.5C soc2@61.625C/61.625C soc0@62.906C/62.906C cv1@63.937C/63.937C gpu@69.281C/69.281C tj@69.375C/69.5C soc1@61.281C/61.281C cv2@59.156C/59.156C VDD_IN 28869mW/23810mW/28909mW VDD_CPU_GPU_CV 18620mW/14965mW/18819mW VDD_SOC 4099mW/3643mW/4146mW
08-10-2026 22:06:56 RAM 10683/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.875C/64.875C cpu@69.562C/69.562C soc2@61.875C/61.875C soc0@63.187C/63.187C cv1@64C/64C gpu@69.312C/69.312C tj@69.562C/69.562C soc1@61.375C/61.375C cv2@59.25C/59.25C VDD_IN 28949mW/24007mW/28949mW VDD_CPU_GPU_CV 18580mW/15104mW/18819mW VDD_SOC 4099mW/3660mW/4146mW
08-10-2026 22:06:56 RAM 10683/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.125C/65.125C cpu@69.812C/69.812C soc2@61.968C/61.968C soc0@63.343C/63.343C cv1@64.156C/64.156C gpu@69.312C/69.312C tj@69.812C/69.812C soc1@61.468C/61.468C cv2@59.437C/59.437C VDD_IN 28909mW/24189mW/28949mW VDD_CPU_GPU_CV 18739mW/15239mW/18819mW VDD_SOC 4099mW/3676mW/4146mW
08-10-2026 22:06:57 RAM 10683/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.437C/65.437C cpu@69.812C/69.812C soc2@62.156C/62.156C soc0@63.531C/63.531C cv1@64.281C/64.281C gpu@69.625C/69.625C tj@69.812C/69.812C soc1@61.656C/61.656C cv2@59.718C/59.718C VDD_IN 28869mW/24356mW/28949mW VDD_CPU_GPU_CV 18859mW/15368mW/18859mW VDD_SOC 4065mW/3690mW/4146mW
08-10-2026 22:06:57 RAM 10683/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.437C/65.437C cpu@70.062C/70.062C soc2@62.187C/62.187C soc0@63.625C/63.625C cv1@64.406C/64.406C gpu@69.781C/69.781C tj@70.062C/70.062C soc1@61.75C/61.75C cv2@59.781C/59.781C VDD_IN 28788mW/24509mW/28949mW VDD_CPU_GPU_CV 18819mW/15487mW/18859mW VDD_SOC 4106mW/3705mW/4146mW
08-10-2026 22:06:58 RAM 10683/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.562C/65.562C cpu@70C/70.062C soc2@62.406C/62.406C soc0@63.718C/63.718C cv1@64.531C/64.531C gpu@69.843C/69.843C tj@70C/70.062C soc1@61.968C/61.968C cv2@60C/60C VDD_IN 28788mW/24651mW/28949mW VDD_CPU_GPU_CV 18779mW/15597mW/18859mW VDD_SOC 4099mW/3718mW/4146mW
08-10-2026 22:06:58 RAM 10681/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.718C/65.718C cpu@70.312C/70.312C soc2@62.437C/62.437C soc0@63.843C/63.843C cv1@64.812C/64.812C gpu@70.156C/70.156C tj@70.312C/70.312C soc1@62.125C/62.125C cv2@60.125C/60.125C VDD_IN 28869mW/24788mW/28949mW VDD_CPU_GPU_CV 18899mW/15703mW/18899mW VDD_SOC 4099mW/3730mW/4146mW
08-10-2026 22:06:59 RAM 10681/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.781C/65.781C cpu@70.562C/70.562C soc2@62.687C/62.687C soc0@64.062C/64.062C cv1@64.937C/64.937C gpu@70.156C/70.156C tj@70.562C/70.562C soc1@62.125C/62.125C cv2@60.125C/60.125C VDD_IN 28909mW/24916mW/28949mW VDD_CPU_GPU_CV 18939mW/15804mW/18939mW VDD_SOC 4139mW/3743mW/4146mW
08-10-2026 22:06:59 RAM 10681/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.812C/65.812C cpu@70.375C/70.562C soc2@62.812C/62.812C soc0@64.25C/64.25C cv1@65.031C/65.031C gpu@70.375C/70.375C tj@70.375C/70.562C soc1@62.343C/62.343C cv2@60.281C/60.281C VDD_IN 29030mW/25041mW/29030mW VDD_CPU_GPU_CV 19018mW/15902mW/19018mW VDD_SOC 4099mW/3754mW/4146mW
