t_s,phase,nvme_mc,nvme_c,tj_mc,tj_c,cpu_c,gpu_c,fan_rpm,fan_pwm,cpu_mhz,vdd_in_mw,sect_read,sect_written,read_mbs,write_mbs,inflight,util_pct
72,04-idle-baseline,39850,39,57687,57,57,56,2060,75,1344,4989,3161467,78334386,0.00,0.00,0,0.4
73,04-idle-baseline,39850,39,57437,57,57,56,2062,75,1267,5030,3161467,78334386,0.00,0.00,0,0.0
74,04-idle-baseline,39850,39,57250,57,57,56,2062,75,1344,4989,3161467,78334394,0.00,0.00,0,0.0
75,04-idle-baseline,39850,39,57281,57,57,56,2061,75,1267,4989,3161467,78334394,0.00,0.00,0,0.0
77,04-idle-baseline,39850,39,57937,57,57,56,2061,75,1344,5602,3161467,78334506,0.00,0.06,0,0.0
78,04-idle-baseline,39850,39,58187,58,58,56,2060,75,1344,5684,3161467,78334514,0.00,0.00,0,0.4
79,04-idle-baseline,39850,39,58093,58,58,56,2058,75,1267,5848,3161467,78334530,0.00,0.01,0,0.0
80,04-idle-baseline,39850,39,58093,58,57,56,2058,75,1344,5684,3161467,78334538,0.00,0.00,0,0.0
81,04-idle-baseline,39850,39,57687,57,57,56,2058,75,1497,5643,3161467,78334538,0.00,0.00,0,0.0
82,04-idle-baseline,39850,39,57875,57,57,56,2059,75,1497,5643,3161467,78335242,0.00,0.36,0,0.4
83,04-idle-baseline,39850,39,58093,58,58,56,2058,75,1267,5643,3161467,78335250,0.00,0.00,0,0.0
84,04-idle-baseline,39850,39,58000,58,58,56,2056,75,1267,5643,3161467,78335266,0.00,0.01,0,0.0
85,04-idle-baseline,39850,39,58250,58,58,56,2061,75,1344,5684,3161467,78335274,0.00,0.00,0,0.0
86,04-idle-baseline,39850,39,58093,58,58,56,2059,75,1267,5684,3161467,78335274,0.00,0.00,0,0.0
87,04-idle-baseline,39850,39,58281,58,58,56,2059,75,1344,5643,3161467,78336002,0.00,0.37,0,0.0
88,04-idle-baseline,39850,39,58156,58,58,56,2060,75,1344,5643,3161467,78336010,0.00,0.00,0,0.0
89,04-idle-baseline,39850,39,58156,58,58,56,2061,75,1267,5643,3161467,78336026,0.00,0.01,0,0.0
90,04-idle-baseline,39850,39,58125,58,58,56,2061,75,1267,5643,3161467,78336034,0.00,0.00,0,0.0
91,04-idle-baseline,39850,39,58187,58,58,56,2056,75,1344,5643,3161467,78336034,0.00,0.00,0,0.0
92,04-idle-baseline,39850,39,58187,58,58,56,2058,75,1344,5643,3161467,78336194,0.00,0.08,0,0.0
93,04-idle-baseline,39850,39,58062,58,58,56,2058,75,1497,5643,3161467,78336202,0.00,0.00,0,0.0
94,04-idle-baseline,39850,39,58250,58,58,56,2059,75,1267,5684,3161467,78336202,0.00,0.00,0,0.0
96,04-idle-baseline,39850,39,58156,58,58,56,2059,75,1267,5643,3161467,78336218,0.00,0.01,0,0.0
97,04-idle-baseline,39850,39,58437,58,58,56,2059,75,1267,5643,3161467,78336218,0.00,0.00,0,0.0
98,04-idle-baseline,39850,39,58250,58,58,56,2061,75,1344,5643,3161467,78336378,0.00,0.08,0,0.0
99,04-idle-baseline,39850,39,58000,58,58,56,2060,75,1344,5643,3161467,78336378,0.00,0.00,0,0.0
100,04-idle-baseline,39850,39,58375,58,58,56,2062,75,1267,5643,3161467,78336378,0.00,0.00,0,0.0
101,04-idle-baseline,39850,39,58218,58,58,56,2061,75,1267,5684,3161467,78336386,0.00,0.00,0,0.0
102,04-idle-baseline,39850,39,58187,58,58,56,2058,75,1267,5684,3161467,78336386,0.00,0.00,0,0.0
103,04-idle-baseline,39850,39,58156,58,58,56,2060,75,1344,5684,3161467,78336514,0.00,0.07,0,0.0
104,04-idle-baseline,39850,39,58437,58,58,56,2058,75,1420,6134,3161467,78336522,0.00,0.00,0,0.0
105,04-idle-baseline,39850,39,58437,58,58,56,2060,75,1344,5684,3161467,78336522,0.00,0.00,0,0.0
106,04-idle-baseline,39850,39,58187,58,58,56,2061,75,1497,5684,3161467,78336530,0.00,0.00,0,0.0
107,04-idle-baseline,39850,39,58218,58,58,56,2060,75,1267,5643,3161467,78336530,0.00,0.00,0,0.0
108,04-idle-baseline,39850,39,58437,58,58,56,2058,75,1267,5684,3161467,78337298,0.00,0.39,1,0.0
109,04-idle-baseline,39850,39,58250,58,58,56,2060,75,1344,5643,3161467,78337538,0.00,0.12,0,0.0
110,04-idle-baseline,39850,39,58531,58,58,56,2058,75,1267,5684,3161467,78337538,0.00,0.00,0,0.0
111,04-idle-baseline,39850,39,58343,58,58,56,2059,75,1344,5643,3161467,78337546,0.00,0.00,0,0.4
112,04-idle-baseline,39850,39,58375,58,58,56,2060,75,1267,5684,3161467,78337546,0.00,0.00,0,0.0
113,04-idle-baseline,39850,39,58250,58,58,56,2063,75,1497,5684,3161467,78338554,0.00,0.52,0,0.4
114,04-idle-baseline,39850,39,58531,58,58,56,2058,75,1344,5684,3161467,78338562,0.00,0.00,0,0.0
116,04-idle-baseline,39850,39,58281,58,58,56,2061,75,1497,5643,3161467,78338562,0.00,0.00,0,0.0
117,04-idle-baseline,39850,39,58218,58,58,56,2059,75,1267,5684,3161467,78338570,0.00,0.00,0,0.0
118,04-idle-baseline,39850,39,58468,58,58,56,2060,75,1344,5725,3161467,78338570,0.00,0.00,0,0.0
119,04-idle-baseline,39850,39,58375,58,58,56,2060,75,1267,5684,3161467,78339106,0.00,0.27,0,0.0
120,04-idle-baseline,39850,39,58281,58,58,56,2060,75,1344,5643,3161467,78339122,0.00,0.01,0,0.0
121,04-idle-baseline,39850,39,58468,58,58,56,2061,75,1497,5684,3161467,78339122,0.00,0.00,0,0.0
122,04-idle-baseline,39850,39,58312,58,58,56,2061,75,1267,5684,3161467,78339138,0.00,0.01,0,0.0
123,04-idle-baseline,39850,39,58531,58,58,56,2061,75,1267,5684,3161467,78339138,0.00,0.00,0,0.0
124,04-idle-baseline,39850,39,58375,58,58,56,2059,75,1267,5684,3161467,78339658,0.00,0.27,0,0.0
125,04-idle-baseline,39850,39,58343,58,58,56,2058,75,1344,5684,3161467,78339666,0.00,0.00,0,0.0
126,04-idle-baseline,39850,39,58531,58,58,56,2060,75,1267,5643,3161467,78339666,0.00,0.00,0,0.0
127,04-idle-baseline,39850,39,58375,58,58,56,2058,75,1267,5684,3161467,78339674,0.00,0.00,0,0.0
128,04-idle-baseline,39850,39,58250,58,58,56,2061,75,1497,5643,3161467,78339674,0.00,0.00,0,0.0
129,04-idle-baseline,39850,39,58000,58,58,56,2058,75,1497,5643,3161467,78339802,0.00,0.07,0,0.0
130,04-idle-baseline,39850,39,58093,58,58,56,2058,75,1497,5643,3161467,78339810,0.00,0.00,0,0.0
131,04-idle-baseline,39850,39,58000,58,58,56,2057,75,1497,5643,3161467,78339810,0.00,0.00,0,0.0
132,04-idle-baseline,39850,39,57843,57,57,56,2061,75,1344,5112,3161467,78339818,0.00,0.00,0,0.0
133,04-idle-baseline,39850,39,58093,58,58,56,2062,75,1036,5275,3161467,78339818,0.00,0.00,0,0.0
135,04-idle-baseline,39850,39,57687,57,57,56,2058,75,1420,5071,3161467,78340338,0.00,0.27,0,0.4
136,04-idle-baseline,39850,39,57625,57,57,56,2057,75,1113,5030,3161467,78340354,0.00,0.01,0,0.0
137,04-idle-baseline,39850,39,57750,57,57,56,2060,75,1267,5030,3161467,78340354,0.00,0.00,0,0.0
138,04-idle-baseline,39850,39,57781,57,57,56,2060,75,1344,5030,3161467,78340370,0.00,0.01,0,0.0
139,04-idle-baseline,39850,39,57875,57,57,56,2060,75,960,5030,3161467,78340386,0.00,0.01,0,0.0
140,04-idle-baseline,39850,39,57656,57,57,56,2058,75,1267,5030,3161467,78340946,0.00,0.29,0,0.0
141,04-idle-baseline,39850,39,57687,57,57,56,2059,75,1267,5030,3161467,78340954,0.00,0.00,0,0.4
142,04-idle-baseline,39850,39,57687,57,57,56,2061,75,1267,5030,3161467,78340954,0.00,0.00,0,0.0
143,04-idle-baseline,39850,39,57687,57,57,56,2058,75,1267,5030,3161467,78340962,0.00,0.00,0,0.0
144,04-idle-baseline,39850,39,57656,57,57,56,2059,75,729,5030,3161467,78340962,0.00,0.00,0,0.0
145,04-idle-baseline,39850,39,57625,57,57,56,2058,75,1344,5030,3161467,78341146,0.00,0.09,0,0.4
146,04-idle-baseline,39850,39,57937,57,57,56,2060,75,1267,5520,3161467,78341506,0.00,0.18,0,0.4
147,04-idle-baseline,39850,39,57687,57,57,56,2060,75,1267,5071,3161467,78341506,0.00,0.00,0,0.0
148,04-idle-baseline,39850,39,57875,57,57,56,2060,75,1267,5030,3161467,78341514,0.00,0.00,0,0.0
150,04-idle-baseline,39850,39,57687,57,57,56,2058,75,729,4989,3161467,78341514,0.00,0.00,0,0.0
151,04-idle-baseline,39850,39,57500,57,57,56,2060,75,1344,5030,3161467,78341514,0.00,0.00,0,0.0
152,04-idle-baseline,39850,39,57625,57,57,56,2058,75,729,4989,3161467,78342050,0.00,0.27,0,0.4
153,04-idle-baseline,39850,39,57687,57,57,56,2060,75,1497,5030,3161467,78342050,0.00,0.00,0,0.0
154,04-idle-baseline,39850,39,57687,57,57,56,2060,75,1036,4989,3161467,78342058,0.00,0.00,0,0.0
155,04-idle-baseline,39850,39,57656,57,57,56,2058,75,1267,4989,3161467,78342058,0.00,0.00,0,0.0
156,04-idle-baseline,39850,39,57562,57,57,56,2058,75,729,5030,3161467,78342578,0.00,0.27,1,0.4
157,04-idle-baseline,39850,39,57750,57,57,56,2060,75,1344,5030,3161467,78342586,0.00,0.00,0,0.0
158,04-idle-baseline,39850,39,57593,57,57,56,2061,75,1344,5030,3161467,78342586,0.00,0.00,0,0.0
159,04-idle-baseline,39850,39,57531,57,57,56,2059,75,1344,5030,3161467,78342594,0.00,0.00,0,0.0
160,04-idle-baseline,39850,39,57656,57,57,56,2061,75,1267,5030,3161467,78342594,0.00,0.00,0,0.0
161,04-idle-baseline,39850,39,57656,57,57,56,2058,75,1344,5030,3161467,78342722,0.00,0.07,0,0.0
162,04-idle-baseline,39850,39,57593,57,57,56,2061,75,1267,5030,3161467,78342730,0.00,0.00,0,0.4
163,04-idle-baseline,39850,39,57406,57,57,56,2060,75,1267,5030,3161467,78342730,0.00,0.00,0,0.0
165,04-idle-baseline,39850,39,57781,57,57,56,2061,75,1036,5030,3161467,78342738,0.00,0.00,0,0.0
166,04-idle-baseline,39850,39,57500,57,57,56,2060,75,729,5030,3161467,78342738,0.00,0.00,0,0.0
167,04-idle-baseline,39850,39,57687,57,57,56,2061,75,729,5030,3161467,78342858,0.00,0.06,0,0.0
168,04-idle-baseline,39850,39,57437,57,57,56,2058,75,960,5030,3161467,78342858,0.00,0.00,0,0.0
169,04-idle-baseline,39850,39,57625,57,57,56,2057,75,1344,5030,3161467,78342858,0.00,0.00,0,0.0
170,04-idle-baseline,39850,39,57562,57,57,56,2058,75,1267,5030,3161467,78342866,0.00,0.00,0,0.0
171,04-idle-baseline,39850,39,57625,57,57,56,2058,75,1344,5030,3161467,78342866,0.00,0.00,0,0.0
