08-10-2026 21:36:41 RAM 2633/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.562C/61.562C cpu@66.406C/66.406C soc2@58.156C/58.156C soc0@59.531C/59.531C cv1@60.781C/60.781C gpu@63.875C/63.875C tj@66.406C/66.406C soc1@58.25C/58.25C cv2@55.937C/55.937C VDD_IN 17244mW/15905mW/17244mW VDD_CPU_GPU_CV 11652mW/10378mW/11652mW VDD_SOC 2393mW/2389mW/2393mW
08-10-2026 21:36:41 RAM 2633/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.75C/61.75C cpu@66.312C/66.406C soc2@58.093C/58.156C soc0@59.625C/59.625C cv1@60.75C/60.781C gpu@63.937C/63.937C tj@66.312C/66.406C soc1@58.25C/58.25C cv2@56.218C/56.218C VDD_IN 17244mW/15966mW/17244mW VDD_CPU_GPU_CV 11652mW/10436mW/11652mW VDD_SOC 2393mW/2389mW/2393mW
08-10-2026 21:36:42 RAM 2632/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.875C/61.875C cpu@66.375C/66.406C soc2@58.218C/58.218C soc0@59.625C/59.625C cv1@60.875C/60.875C gpu@63.937C/63.937C tj@66.375C/66.406C soc1@58.468C/58.468C cv2@56.187C/56.218C VDD_IN 17244mW/16022mW/17244mW VDD_CPU_GPU_CV 11652mW/10489mW/11652mW VDD_SOC 2393mW/2389mW/2393mW
08-10-2026 21:36:42 RAM 2632/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.875C/61.875C cpu@66.5C/66.5C soc2@58.281C/58.281C soc0@59.906C/59.906C cv1@60.812C/60.875C gpu@63.937C/63.937C tj@66.5C/66.5C soc1@58.593C/58.593C cv2@56.25C/56.25C VDD_IN 17244mW/16073mW/17244mW VDD_CPU_GPU_CV 11652mW/10538mW/11652mW VDD_SOC 2393mW/2389mW/2393mW
08-10-2026 21:36:43 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62C/62C cpu@66.5C/66.5C soc2@58.343C/58.343C soc0@59.906C/59.906C cv1@61.125C/61.125C gpu@64.218C/64.218C tj@66.5C/66.5C soc1@58.687C/58.687C cv2@56.312C/56.312C VDD_IN 17244mW/16120mW/17244mW VDD_CPU_GPU_CV 11652mW/10582mW/11652mW VDD_SOC 2393mW/2390mW/2393mW
08-10-2026 21:36:43 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.062C/62.062C cpu@66.625C/66.625C soc2@58.593C/58.593C soc0@60C/60C cv1@61.281C/61.281C gpu@64.187C/64.218C tj@66.625C/66.625C soc1@58.687C/58.687C cv2@56.375C/56.375C VDD_IN 17244mW/16163mW/17244mW VDD_CPU_GPU_CV 11652mW/10623mW/11652mW VDD_SOC 2393mW/2390mW/2393mW
08-10-2026 21:36:44 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.062C/62.062C cpu@66.843C/66.843C soc2@58.625C/58.625C soc0@60.062C/60.062C cv1@61.312C/61.312C gpu@64.156C/64.218C tj@66.843C/66.843C soc1@58.781C/58.781C cv2@56.562C/56.562C VDD_IN 17244mW/16203mW/17244mW VDD_CPU_GPU_CV 11652mW/10661mW/11652mW VDD_SOC 2393mW/2390mW/2393mW
08-10-2026 21:36:44 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.281C/62.281C cpu@66.906C/66.906C soc2@58.687C/58.687C soc0@60.156C/60.156C cv1@61.375C/61.375C gpu@64.406C/64.406C tj@66.906C/66.906C soc1@58.843C/58.843C cv2@56.593C/56.593C VDD_IN 17244mW/16240mW/17244mW VDD_CPU_GPU_CV 11652mW/10697mW/11652mW VDD_SOC 2434mW/2391mW/2434mW
08-10-2026 21:36:45 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.406C/62.406C cpu@66.968C/66.968C soc2@58.812C/58.812C soc0@60.281C/60.281C cv1@61.406C/61.406C gpu@64.468C/64.468C tj@66.968C/66.968C soc1@58.968C/58.968C cv2@56.75C/56.75C VDD_IN 17244mW/16275mW/17244mW VDD_CPU_GPU_CV 11652mW/10730mW/11652mW VDD_SOC 2393mW/2391mW/2434mW
08-10-2026 21:36:45 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.437C/62.437C cpu@67C/67C soc2@58.843C/58.843C soc0@60.281C/60.281C cv1@61.593C/61.593C gpu@64.531C/64.531C tj@67C/67C soc1@59.218C/59.218C cv2@56.812C/56.812C VDD_IN 17244mW/16307mW/17244mW VDD_CPU_GPU_CV 11692mW/10762mW/11692mW VDD_SOC 2393mW/2392mW/2434mW
08-10-2026 21:36:46 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.437C/62.437C cpu@67.062C/67.062C soc2@59C/59C soc0@60.531C/60.531C cv1@61.687C/61.687C gpu@64.562C/64.562C tj@67.062C/67.062C soc1@59.187C/59.218C cv2@56.875C/56.875C VDD_IN 17285mW/16339mW/17285mW VDD_CPU_GPU_CV 11692mW/10792mW/11692mW VDD_SOC 2434mW/2393mW/2434mW
08-10-2026 21:36:46 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.5C/62.5C cpu@67.406C/67.406C soc2@59.031C/59.031C soc0@60.625C/60.625C cv1@61.656C/61.687C gpu@64.875C/64.875C tj@67.406C/67.406C soc1@59.312C/59.312C cv2@56.968C/56.968C VDD_IN 17285mW/16368mW/17285mW VDD_CPU_GPU_CV 11692mW/10820mW/11692mW VDD_SOC 2434mW/2394mW/2434mW
08-10-2026 21:36:47 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.75C/62.75C cpu@67.25C/67.406C soc2@59.125C/59.125C soc0@60.687C/60.687C cv1@61.781C/61.781C gpu@64.718C/64.875C tj@67.25C/67.406C soc1@59.312C/59.312C cv2@57.156C/57.156C VDD_IN 17285mW/16396mW/17285mW VDD_CPU_GPU_CV 11692mW/10846mW/11692mW VDD_SOC 2434mW/2395mW/2434mW
08-10-2026 21:36:47 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.687C/62.75C cpu@67.406C/67.406C soc2@59.281C/59.281C soc0@60.718C/60.718C cv1@61.937C/61.937C gpu@64.843C/64.875C tj@67.406C/67.406C soc1@59.406C/59.406C cv2@57.031C/57.156C VDD_IN 17285mW/16422mW/17285mW VDD_CPU_GPU_CV 11692mW/10871mW/11692mW VDD_SOC 2434mW/2397mW/2434mW
08-10-2026 21:36:48 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.906C/62.906C cpu@67.437C/67.437C soc2@59.312C/59.312C soc0@60.812C/60.812C cv1@62C/62C gpu@64.875C/64.875C tj@67.437C/67.437C soc1@59.5C/59.5C cv2@57.218C/57.218C VDD_IN 17285mW/16447mW/17285mW VDD_CPU_GPU_CV 11692mW/10895mW/11692mW VDD_SOC 2434mW/2398mW/2434mW
08-10-2026 21:36:48 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.906C/62.906C cpu@67.5C/67.5C soc2@59.343C/59.343C soc0@60.843C/60.843C cv1@61.968C/62C gpu@65.218C/65.218C tj@67.5C/67.5C soc1@59.656C/59.656C cv2@57.281C/57.281C VDD_IN 17285mW/16470mW/17285mW VDD_CPU_GPU_CV 11692mW/10917mW/11692mW VDD_SOC 2434mW/2399mW/2434mW
08-10-2026 21:36:49 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.968C/62.968C cpu@67.562C/67.562C soc2@59.468C/59.468C soc0@61.031C/61.031C cv1@62.218C/62.218C gpu@65.218C/65.218C tj@67.562C/67.562C soc1@59.687C/59.687C cv2@57.406C/57.406C VDD_IN 17285mW/16492mW/17285mW VDD_CPU_GPU_CV 11692mW/10938mW/11692mW VDD_SOC 2434mW/2400mW/2434mW
08-10-2026 21:36:49 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63C/63C cpu@67.687C/67.687C soc2@59.625C/59.625C soc0@61.062C/61.062C cv1@62.218C/62.218C gpu@65.437C/65.437C tj@67.687C/67.687C soc1@59.75C/59.75C cv2@57.375C/57.406C VDD_IN 17285mW/16513mW/17285mW VDD_CPU_GPU_CV 11692mW/10958mW/11692mW VDD_SOC 2434mW/2400mW/2434mW
08-10-2026 21:36:50 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.281C/63.281C cpu@67.843C/67.843C soc2@59.656C/59.656C soc0@61.062C/61.062C cv1@62.312C/62.312C gpu@65.281C/65.437C tj@67.843C/67.843C soc1@59.718C/59.75C cv2@57.5C/57.5C VDD_IN 17285mW/16533mW/17285mW VDD_CPU_GPU_CV 11692mW/10976mW/11692mW VDD_SOC 2434mW/2401mW/2434mW
08-10-2026 21:36:50 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.156C/63.281C cpu@67.843C/67.843C soc2@59.781C/59.781C soc0@61.218C/61.218C cv1@62.375C/62.375C gpu@65.437C/65.437C tj@67.843C/67.843C soc1@59.875C/59.875C cv2@57.718C/57.718C VDD_IN 17325mW/16553mW/17325mW VDD_CPU_GPU_CV 11692mW/10994mW/11692mW VDD_SOC 2434mW/2402mW/2434mW
08-10-2026 21:36:51 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.375C/63.375C cpu@67.875C/67.875C soc2@59.781C/59.781C soc0@61.25C/61.25C cv1@62.468C/62.468C gpu@65.375C/65.437C tj@67.875C/67.875C soc1@59.937C/59.937C cv2@57.75C/57.75C VDD_IN 17325mW/16571mW/17325mW VDD_CPU_GPU_CV 11692mW/11011mW/11692mW VDD_SOC 2434mW/2403mW/2434mW
08-10-2026 21:36:51 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.343C/63.375C cpu@67.906C/67.906C soc2@59.875C/59.875C soc0@61.312C/61.312C cv1@62.5C/62.5C gpu@65.625C/65.625C tj@67.906C/67.906C soc1@60.187C/60.187C cv2@57.781C/57.781C VDD_IN 17325mW/16589mW/17325mW VDD_CPU_GPU_CV 11692mW/11028mW/11692mW VDD_SOC 2434mW/2404mW/2434mW
08-10-2026 21:36:52 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.5C/63.5C cpu@68.375C/68.375C soc2@59.968C/59.968C soc0@61.406C/61.406C cv1@62.562C/62.562C gpu@65.468C/65.625C tj@67.968C/67.968C soc1@60.218C/60.218C cv2@57.843C/57.843C VDD_IN 17325mW/16606mW/17325mW VDD_CPU_GPU_CV 11692mW/11043mW/11692mW VDD_SOC 2434mW/2404mW/2434mW
08-10-2026 21:36:52 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.5C/63.5C cpu@68.093C/68.375C soc2@60.062C/60.062C soc0@61.593C/61.593C cv1@62.718C/62.718C gpu@65.75C/65.75C tj@68.093C/68.093C soc1@60.187C/60.218C cv2@57.875C/57.875C VDD_IN 17325mW/16623mW/17325mW VDD_CPU_GPU_CV 11692mW/11058mW/11692mW VDD_SOC 2434mW/2405mW/2434mW
08-10-2026 21:36:53 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.562C/63.562C cpu@68.156C/68.375C soc2@60.093C/60.093C soc0@61.718C/61.718C cv1@62.718C/62.718C gpu@65.906C/65.906C tj@68.156C/68.156C soc1@60.281C/60.281C cv2@57.968C/57.968C VDD_IN 17325mW/16638mW/17325mW VDD_CPU_GPU_CV 11692mW/11072mW/11692mW VDD_SOC 2434mW/2406mW/2434mW
08-10-2026 21:36:53 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.593C/63.593C cpu@68.375C/68.375C soc2@60.187C/60.187C soc0@61.718C/61.718C cv1@62.843C/62.843C gpu@65.875C/65.906C tj@68.375C/68.375C soc1@60.343C/60.343C cv2@58.031C/58.031C VDD_IN 17325mW/16653mW/17325mW VDD_CPU_GPU_CV 11733mW/11086mW/11733mW VDD_SOC 2434mW/2406mW/2434mW
08-10-2026 21:36:54 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.718C/63.718C cpu@68.343C/68.375C soc2@60.312C/60.312C soc0@61.718C/61.718C cv1@62.781C/62.843C gpu@65.875C/65.906C tj@68.343C/68.375C soc1@60.375C/60.375C cv2@58.187C/58.187C VDD_IN 17325mW/16668mW/17325mW VDD_CPU_GPU_CV 11733mW/11100mW/11733mW VDD_SOC 2434mW/2407mW/2434mW
08-10-2026 21:36:54 RAM 2631/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.75C/63.75C cpu@68.406C/68.406C soc2@60.343C/60.343C soc0@61.812C/61.812C cv1@62.843C/62.843C gpu@66.062C/66.062C tj@68.406C/68.406C soc1@60.562C/60.562C cv2@58.343C/58.343C VDD_IN 17325mW/16681mW/17325mW VDD_CPU_GPU_CV 11733mW/11113mW/11733mW VDD_SOC 2434mW/2407mW/2434mW
