08-10-2026 21:55:19 RAM 5146/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.031C/69.031C cpu@73.468C/73.468C soc2@65.75C/65.75C soc0@67.156C/67.156C cv1@68C/68C gpu@72.343C/72.5C tj@73.468C/73.468C soc1@65.343C/65.343C cv2@63.625C/63.625C VDD_IN 25320mW/21335mW/25482mW VDD_CPU_GPU_CV 16640mW/13677mW/16840mW VDD_SOC 3628mW/3262mW/3669mW
08-10-2026 21:55:20 RAM 5146/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.062C/69.062C cpu@73.531C/73.531C soc2@65.781C/65.781C soc0@67.25C/67.25C cv1@68.031C/68.031C gpu@72.812C/72.812C tj@73.531C/73.531C soc1@65.343C/65.343C cv2@63.687C/63.687C VDD_IN 25441mW/21514mW/25482mW VDD_CPU_GPU_CV 16840mW/13814mW/16840mW VDD_SOC 3628mW/3278mW/3669mW
08-10-2026 21:55:20 RAM 5144/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.093C/69.093C cpu@73.562C/73.562C soc2@65.812C/65.812C soc0@67.25C/67.25C cv1@68.062C/68.062C gpu@72.75C/72.812C tj@73.562C/73.562C soc1@65.593C/65.593C cv2@63.781C/63.781C VDD_IN 25482mW/21679mW/25482mW VDD_CPU_GPU_CV 16800mW/13938mW/16840mW VDD_SOC 3628mW/3293mW/3669mW
08-10-2026 21:55:21 RAM 5144/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.093C/69.093C cpu@73.5C/73.562C soc2@65.968C/65.968C soc0@67.343C/67.343C cv1@68.062C/68.062C gpu@72.875C/72.875C tj@73.5C/73.562C soc1@65.718C/65.718C cv2@63.812C/63.812C VDD_IN 25361mW/21826mW/25482mW VDD_CPU_GPU_CV 16800mW/14053mW/16840mW VDD_SOC 3628mW/3306mW/3669mW
08-10-2026 21:55:21 RAM 5143/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.218C/69.218C cpu@73.718C/73.718C soc2@65.968C/65.968C soc0@67.562C/67.562C cv1@68.156C/68.156C gpu@72.687C/72.875C tj@73.718C/73.718C soc1@65.687C/65.718C cv2@63.843C/63.843C VDD_IN 25361mW/21962mW/25482mW VDD_CPU_GPU_CV 16720mW/14156mW/16840mW VDD_SOC 3669mW/3320mW/3669mW
08-10-2026 21:55:22 RAM 5143/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.281C/69.281C cpu@73.687C/73.718C soc2@66.125C/66.125C soc0@67.593C/67.593C cv1@68.375C/68.375C gpu@73.093C/73.093C tj@73.687C/73.718C soc1@65.625C/65.718C cv2@63.906C/63.906C VDD_IN 25441mW/22091mW/25482mW VDD_CPU_GPU_CV 16760mW/14252mW/16840mW VDD_SOC 3669mW/3333mW/3669mW
08-10-2026 21:55:22 RAM 5143/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.343C/69.343C cpu@73.937C/73.937C soc2@66.218C/66.218C soc0@67.718C/67.718C cv1@68.343C/68.375C gpu@72.906C/73.093C tj@73.937C/73.937C soc1@65.75C/65.75C cv2@64.125C/64.125C VDD_IN 25401mW/22209mW/25482mW VDD_CPU_GPU_CV 16760mW/14342mW/16840mW VDD_SOC 3628mW/3344mW/3669mW
08-10-2026 21:55:23 RAM 5143/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.406C/69.406C cpu@74.031C/74.031C soc2@66.343C/66.343C soc0@67.718C/67.718C cv1@68.437C/68.437C gpu@73.062C/73.093C tj@74.031C/74.031C soc1@65.843C/65.843C cv2@64.031C/64.125C VDD_IN 25361mW/22318mW/25482mW VDD_CPU_GPU_CV 16760mW/14425mW/16840mW VDD_SOC 3628mW/3354mW/3669mW
08-10-2026 21:55:23 RAM 5142/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.625C/69.625C cpu@74.062C/74.062C soc2@66.343C/66.343C soc0@67.843C/67.843C cv1@68.468C/68.468C gpu@72.968C/73.093C tj@74.062C/74.062C soc1@65.843C/65.843C cv2@64.281C/64.281C VDD_IN 25441mW/22422mW/25482mW VDD_CPU_GPU_CV 16720mW/14501mW/16840mW VDD_SOC 3669mW/3364mW/3669mW
08-10-2026 21:55:24 RAM 5142/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@69.625C/69.625C cpu@74.093C/74.093C soc2@66.312C/66.343C soc0@67.812C/67.843C cv1@68.625C/68.625C gpu@73.187C/73.187C tj@74.093C/74.093C soc1@65.875C/65.875C cv2@64.312C/64.312C VDD_IN 25320mW/22516mW/25482mW VDD_CPU_GPU_CV 16720mW/14573mW/16840mW VDD_SOC 3669mW/3374mW/3669mW
