t_s,cumulative_gib,write_mbs
467.2,162.418,237.5
468.2,162.549,140.6
469.2,162.674,134.7
470.2,162.803,137.8
471.2,162.931,137.6
472.2,163.065,143.8
473.2,163.193,137.8
474.2,163.339,156.4
475.2,163.794,488.5
476.2,164.324,569.1
477.2,164.580,275.1
478.2,164.740,170.8
479.2,164.872,142.1
480.2,165.000,137.8
481.2,165.123,131.5
482.2,165.256,142.5
483.2,165.382,135.1
484.2,165.519,147.7
485.2,165.828,331.2
486.2,166.367,578.9
487.2,166.714,371.9
488.2,166.913,213.9
489.2,167.045,141.3
490.2,167.176,140.2
491.2,167.298,131.6
492.2,167.426,137.4
493.2,167.555,137.8
494.2,167.683,137.6
495.2,167.833,161.2
496.2,168.380,587.1
497.2,168.861,516.0
498.2,169.106,262.9
499.2,169.234,137.8
500.2,169.368,143.9
501.2,169.491,131.5
502.2,169.616,134.2
503.2,169.747,141.0
504.2,169.876,137.8
505.2,170.015,150.2
506.2,170.388,399.4
507.2,170.899,549.3
508.2,171.228,353.1
509.2,171.421,206.6
510.2,171.549,137.6
511.2,171.683,144.0
512.2,171.811,137.5
513.2,171.939,137.8
514.2,172.074,143.9
515.2,172.201,137.0
516.2,172.457,274.9
517.2,172.960,539.6
518.2,173.387,458.2
519.2,173.620,250.1
520.2,173.747,136.2
521.2,173.881,143.9
522.2,174.009,137.5
523.2,174.138,137.8
524.2,174.267,139.2
525.2,174.400,142.3
526.2,174.546,156.5
527.2,175.011,499.0
528.2,175.519,545.8
529.2,175.770,269.1
530.2,175.919,159.8
531.2,176.050,140.6
532.2,176.178,137.6
533.2,176.307,137.6
534.2,176.435,137.6
535.2,176.563,137.8
536.2,176.697,143.1
537.2,177.006,331.6
538.2,177.540,572.8
539.2,177.911,398.3
540.2,178.115,219.0
541.2,178.243,138.0
542.2,178.371,137.1
543.2,178.499,137.6
544.2,178.628,137.8
545.2,178.756,137.8
546.2,178.884,137.5
547.2,179.039,165.8
548.2,179.538,536.0
549.2,180.050,548.9
550.2,180.290,257.8
551.2,180.430,150.2
552.2,180.564,143.8
553.2,180.692,137.6
554.2,180.815,131.3
555.2,180.948,143.3
556.2,181.071,132.1
557.2,181.205,143.7
558.2,181.530,348.7
559.2,182.058,566.6
560.2,182.407,374.3
561.2,182.593,200.3
562.2,182.727,143.8
563.2,182.856,137.6
564.2,182.984,137.8
565.2,183.112,137.6
566.2,183.246,143.9
567.2,183.369,131.2
568.2,183.580,226.8
569.2,184.090,547.5
570.2,184.549,492.3
571.2,184.786,254.7
572.2,184.917,140.6
573.2,185.046,137.6
574.2,185.177,140.5
575.2,185.305,137.8
576.2,185.433,137.8
577.2,185.562,138.0
578.2,185.702,150.7
579.2,186.128,456.9
580.2,186.658,569.1
581.2,186.947,310.4
582.2,187.114,179.0
583.2,187.246,141.6
584.2,187.375,137.8
585.2,187.497,131.5
586.2,187.627,139.1
587.2,187.759,142.5
588.2,187.888,137.5
589.2,188.157,289.1
590.2,188.669,549.2
591.2,189.089,450.5
592.2,189.311,238.7
593.2,189.439,137.5
594.2,189.573,143.8
595.2,189.708,144.0
596.2,189.836,137.8
597.2,189.970,143.8
598.2,190.098,137.5
599.2,190.271,185.9
600.2,190.778,544.2
601.2,191.253,509.5
602.2,191.492,256.6
603.2,191.620,137.4
604.2,191.754,143.9
605.2,191.882,137.8
606.2,192.014,141.2
607.2,192.145,140.5
608.2,192.273,137.5
609.2,192.413,150.2
610.2,192.851,469.8
611.2,193.402,591.3
612.2,193.673,291.2
613.2,193.836,174.9
614.2,193.965,137.8
615.2,194.093,137.8
616.2,194.221,137.6
617.2,194.350,137.8
618.2,194.475,134.5
619.2,194.598,131.7
620.2,194.847,267.9
621.2,195.388,579.7
622.2,195.806,449.2
623.2,196.028,237.9
624.2,196.157,138.7
625.2,196.286,137.9
626.2,196.420,143.8
627.2,196.548,137.6
628.2,196.682,143.6
629.2,196.804,131.5
630.2,196.956,162.6
631.2,197.442,521.3
632.2,197.953,549.2
633.3,198.195,258.9
634.3,198.332,147.6
635.3,198.461,137.8
636.3,198.591,139.6
637.3,198.717,135.8
638.3,198.845,137.4
639.3,198.974,137.8
640.3,199.109,144.7
641.3,199.454,371.1
642.3,199.984,567.6
643.3,200.321,361.5
644.3,200.514,208.0
645.3,200.647,142.6
