08-10-2026 23:01:39 RAM 8960/15599MB (lfb 43x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,98%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.656C/64.656C cpu@69.437C/69.437C soc2@61.781C/61.781C soc0@63.312C/63.312C cv1@63.875C/63.875C gpu@70.125C/70.218C tj@70.125C/70.218C soc1@61.25C/61.25C cv2@59.437C/59.437C VDD_IN 31359mW/25134mW/31560mW VDD_CPU_GPU_CV 19911mW/14944mW/20070mW VDD_SOC 4574mW/4235mW/5136mW
08-10-2026 23:01:39 RAM 9328/15599MB (lfb 43x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.906C/64.906C cpu@70.156C/70.156C soc2@62C/62C soc0@63.406C/63.406C cv1@64.031C/64.031C gpu@70.312C/70.312C tj@70.312C/70.312C soc1@61.437C/61.437C cv2@59.531C/59.531C VDD_IN 31882mW/25332mW/31882mW VDD_CPU_GPU_CV 19911mW/15090mW/20070mW VDD_SOC 4855mW/4253mW/5136mW
08-10-2026 23:01:40 RAM 9889/15599MB (lfb 43x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.218C/65.218C cpu@69.937C/70.156C soc2@62.093C/62.093C soc0@63.5C/63.5C cv1@64.156C/64.156C gpu@70.593C/70.593C tj@70.593C/70.593C soc1@61.468C/61.468C cv2@59.718C/59.718C VDD_IN 31842mW/25518mW/31882mW VDD_CPU_GPU_CV 19872mW/15227mW/20070mW VDD_SOC 4895mW/4271mW/5136mW
08-10-2026 23:01:40 RAM 9916/15599MB (lfb 43x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.218C/65.218C cpu@70C/70.156C soc2@62.25C/62.25C soc0@63.781C/63.781C cv1@64.375C/64.375C gpu@70.437C/70.593C tj@70.437C/70.593C soc1@61.593C/61.593C cv2@59.718C/59.718C VDD_IN 31359mW/25680mW/31882mW VDD_CPU_GPU_CV 19792mW/15354mW/20070mW VDD_SOC 4614mW/4281mW/5136mW
08-10-2026 23:01:41 RAM 9943/15599MB (lfb 43x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.593C/65.593C cpu@70.062C/70.156C soc2@62.406C/62.406C soc0@63.843C/63.843C cv1@64.531C/64.531C gpu@70.625C/70.625C tj@70.625C/70.625C soc1@61.781C/61.781C cv2@59.937C/59.937C VDD_IN 31117mW/25827mW/31882mW VDD_CPU_GPU_CV 19752mW/15473mW/20070mW VDD_SOC 4501mW/4287mW/5136mW
08-10-2026 23:01:41 RAM 9975/15599MB (lfb 43x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.531C/65.593C cpu@70.156C/70.156C soc2@62.531C/62.531C soc0@63.937C/63.937C cv1@64.593C/64.593C gpu@70.843C/70.843C tj@70.843C/70.843C soc1@62.093C/62.093C cv2@60.093C/60.093C VDD_IN 31198mW/25969mW/31882mW VDD_CPU_GPU_CV 19991mW/15591mW/20070mW VDD_SOC 4501mW/4293mW/5136mW
08-10-2026 23:01:42 RAM 9999/15599MB (lfb 43x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.625C/65.625C cpu@70.187C/70.187C soc2@62.656C/62.656C soc0@64.093C/64.093C cv1@64.687C/64.687C gpu@71C/71C tj@71C/71C soc1@62.125C/62.125C cv2@60.187C/60.187C VDD_IN 31278mW/26105mW/31882mW VDD_CPU_GPU_CV 20030mW/15705mW/20070mW VDD_SOC 4501mW/4298mW/5136mW
08-10-2026 23:01:42 RAM 10030/15599MB (lfb 42x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.812C/65.812C cpu@70.468C/70.468C soc2@62.937C/62.937C soc0@64.218C/64.218C cv1@64.906C/64.906C gpu@71.375C/71.375C tj@71.375C/71.375C soc1@62.125C/62.125C cv2@60.375C/60.375C VDD_IN 31600mW/26242mW/31882mW VDD_CPU_GPU_CV 20189mW/15817mW/20189mW VDD_SOC 4494mW/4303mW/5136mW
08-10-2026 23:01:43 RAM 11368/15599MB (lfb 21x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.718C/65.812C cpu@70.5C/70.5C soc2@62.875C/62.937C soc0@64.406C/64.406C cv1@64.875C/64.906C gpu@71.406C/71.406C tj@71.406C/71.406C soc1@62.468C/62.468C cv2@60.406C/60.406C VDD_IN 31802mW/26378mW/31882mW VDD_CPU_GPU_CV 20229mW/15925mW/20229mW VDD_SOC 4614mW/4310mW/5136mW
08-10-2026 23:01:43 RAM 11588/15599MB (lfb 6x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.937C/65.937C cpu@70.718C/70.718C soc2@63.093C/63.093C soc0@64.5C/64.5C cv1@65.156C/65.156C gpu@71.375C/71.406C tj@71.375C/71.406C soc1@62.406C/62.468C cv2@60.531C/60.531C VDD_IN 32325mW/26519mW/32325mW VDD_CPU_GPU_CV 20189mW/16027mW/20229mW VDD_SOC 4975mW/4326mW/5136mW
08-10-2026 23:01:44 RAM 12181/15599MB (lfb 6x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.093C/66.093C cpu@70.781C/70.781C soc2@63.187C/63.187C soc0@64.687C/64.687C cv1@65.125C/65.156C gpu@71.687C/71.687C tj@71.687C/71.687C soc1@62.593C/62.593C cv2@60.781C/60.781C VDD_IN 31963mW/26646mW/32325mW VDD_CPU_GPU_CV 20110mW/16121mW/20229mW VDD_SOC 4815mW/4338mW/5136mW
08-10-2026 23:01:44 RAM 12204/15599MB (lfb 7x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.343C/66.343C cpu@71.218C/71.218C soc2@63.343C/63.343C soc0@65.031C/65.031C cv1@65.468C/65.468C gpu@71.562C/71.687C tj@71.562C/71.687C soc1@62.687C/62.687C cv2@60.843C/60.843C VDD_IN 31761mW/26762mW/32325mW VDD_CPU_GPU_CV 20189mW/16214mW/20229mW VDD_SOC 4574mW/4343mW/5136mW
08-10-2026 23:01:45 RAM 12236/15599MB (lfb 6x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.437C/66.437C cpu@70.906C/71.218C soc2@63.5C/63.5C soc0@65.031C/65.031C cv1@65.562C/65.562C gpu@71.906C/71.906C tj@71.906C/71.906C soc1@62.937C/62.937C cv2@61C/61C VDD_IN 31520mW/26868mW/32325mW VDD_CPU_GPU_CV 20309mW/16305mW/20309mW VDD_SOC 4534mW/4347mW/5136mW
08-10-2026 23:01:45 RAM 12223/15599MB (lfb 7x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.625C/66.625C cpu@71.25C/71.25C soc2@63.656C/63.656C soc0@65.218C/65.218C cv1@65.656C/65.656C gpu@71.843C/71.906C tj@71.843C/71.906C soc1@62.937C/62.937C cv2@61.156C/61.156C VDD_IN 31560mW/26970mW/32325mW VDD_CPU_GPU_CV 20110mW/16388mW/20309mW VDD_SOC 4454mW/4350mW/5136mW
08-10-2026 23:01:46 RAM 12218/15599MB (lfb 9x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.781C/66.781C cpu@71.531C/71.531C soc2@63.812C/63.812C soc0@65.281C/65.281C cv1@65.843C/65.843C gpu@71.5C/71.906C tj@71.531C/71.906C soc1@63.062C/63.062C cv2@61.312C/61.312C VDD_IN 31359mW/27063mW/32325mW VDD_CPU_GPU_CV 19514mW/16454mW/20309mW VDD_SOC 4614mW/4355mW/5136mW
